,Source,Date,Positive Score,Negative Score,Neutral Score,Compounded Score,Text
0,BBC,Mon Mar 05 09:00:05 +0000 2018,0.0,0.0,1.0,0.0,😍 A rare pure-white stoat! https://t.co/VoR9jXJmk4
1,BBC,Mon Mar 05 08:30:04 +0000 2018,0.0,0.0,1.0,0.0,"Many personality traits can be observed but there are other hidden forces that shape who we are.
👉… https://t.co/aTsldl7s1z"
2,BBC,Mon Mar 05 08:00:04 +0000 2018,0.0,0.0,1.0,0.0,"🐝🍯 How honey is collected.
#AmazingHotels https://t.co/UIJKlsamx5"
3,BBC,Sun Mar 04 20:11:35 +0000 2018,0.184,0.089,0.726,0.4019,RT @BBCNewsbeat: Miss Piggy has some strong feelings about this year's #Oscars selection 🙈😂 https://t.co/vzHGz8PtmD
4,BBC,Sun Mar 04 19:00:05 +0000 2018,0.386,0.0,0.614,0.8468,Sloths have survived for more than 60 million years - what makes them so successful?  https://t.co/H4BAA5kAOL
5,BBC,Sun Mar 04 18:59:39 +0000 2018,0.118,0.0,0.882,0.4215,RT @BBCWorld: Watch this baby chimp being flown to a new home in DR Congo after it was rescued from poachers 🐒❤️ https://t.co/mZfGI8h6Gc
6,BBC,Sun Mar 04 18:00:09 +0000 2018,0.0,0.099,0.901,-0.3182,"🎬🏆 So you've got the critical acclaim, you've got the industry buzz, you might even have a Golden Globe in your dow… https://t.co/WdGFOHrFMZ"
7,BBC,Sun Mar 04 16:57:46 +0000 2018,0.111,0.0,0.889,0.4588,"RT @BBCWorld: What can we expect from the 90th Academy Awards? A lot has changed since last year. 

Here are eight reasons why the 2018 #Os…"
8,BBC,Sun Mar 04 16:30:12 +0000 2018,0.189,0.0,0.811,0.6369,"❤️ After her double mastectomy, this woman found a unique way of learning to love her new breasts.
👉… https://t.co/KAxQxkQEow"
9,BBC,Sun Mar 04 15:30:29 +0000 2018,0.13,0.0,0.87,0.3382,"He was almost a professional footballer! 😮

11 surprising things we learned from Matt Smith's Desert Island Discs:… https://t.co/TMfwinexEB"
10,BBC,Sun Mar 04 15:00:06 +0000 2018,0.124,0.0,0.876,0.1779,🍫 Meet the teenage chocolatier joining the ranks of Scotland's growing chocolate sector. https://t.co/FeIVc3FeZC
11,BBC,Sun Mar 04 14:03:03 +0000 2018,0.18,0.17,0.65,0.0498,"Two landscape artists begin a romance whilst working at Versailles. ❤️️🌷🎬

A Little Chaos | @BBCiPlayer |… https://t.co/szKKosJ2K2"
12,BBC,Sun Mar 04 13:46:48 +0000 2018,0.298,0.0,0.702,0.802,"RT @BBCSportWales: Can't get enough of this.

Welcome to the wonderful world of football analogies - starring @SwansOfficial manager Carlos…"
13,BBC,Sun Mar 04 13:30:06 +0000 2018,0.101,0.0,0.899,0.2263,"🍿🎞 From #IsleOfDogs to #TombRaider, here are 9 films worth heading to the movies for in March. 
👉… https://t.co/y1xGGocMuA"
14,BBC,Sun Mar 04 12:57:19 +0000 2018,0.0,0.0,1.0,0.0,"RT @BBCWomansHour: 👀🎥 @LadyBirdMovie's up for FIVE #Oscars this weekend 🙌 @Saoirse_Ronan talks to us about the film's appeal, her real-life…"
15,BBC,Sun Mar 04 12:56:49 +0000 2018,0.118,0.0,0.882,0.4939,"RT @BBCSport: There are for four gold medals up for grabs at the Track Cycling World Championships today. 🙌

Watch the GB squad in action i…"
16,BBC,Sun Mar 04 12:56:15 +0000 2018,0.0,0.28,0.72,-0.765,"RT @BBCSport: After the shocking news of Davide Astori's death, all Serie A fixtures today have been called off.

👉 https://t.co/rmqcHfLPUX…"
17,BBC,Sun Mar 04 12:55:43 +0000 2018,0.225,0.0,0.775,0.7003,"RT @BBC6Music: 🎬 Let's settle this, what's the greatest ever movie soundtrack or score?

This Sunday from 6-8pm #NP6Music is warming up for…"
18,BBC,Sun Mar 04 12:33:04 +0000 2018,0.0,0.0,1.0,0.0,🎬 An aspiring writer decides to focus on the story of Mississippi's black maids - much to the consternation of her… https://t.co/bDLqgAXBfk
19,BBC,Sun Mar 04 12:00:07 +0000 2018,0.0,0.0,1.0,0.0,"Feeding time! 🍴🦈
#AmazingHotels https://t.co/SnOXnczSAF"
20,BBC,Sun Mar 04 11:54:09 +0000 2018,0.0,0.0,1.0,0.0,"RT @BBCEarth: In some parts of the ocean, it’s estimated that there are over half a million pieces of plastic for every square kilometre
#B…"
21,BBC,Sun Mar 04 11:34:05 +0000 2018,0.0,0.0,1.0,0.0,Sir Roger Bannister: First man to run a mile in under four minutes dies at 88. https://t.co/CpLdZchwqi https://t.co/l7ujJ3kHE6
22,BBC,Sun Mar 04 11:00:02 +0000 2018,0.322,0.0,0.678,0.5141,❤️👏 Two-year-old Daisy is a little litter-picking hero. https://t.co/EiYuQkQUlU
23,BBC,Sun Mar 04 10:33:01 +0000 2018,0.285,0.0,0.715,0.657,Would you be able to resist this perfect layer of snow? 😂❄️🌨https://t.co/36rTZveWl5
24,BBC,Sun Mar 04 09:30:03 +0000 2018,0.0,0.0,1.0,0.0,"🍳🥓 Before you fry up your full English this morning, did you know just 1.5 sausages could reduce your lifespan by 3… https://t.co/TXZAcIZKVH"
25,BBC,Sat Mar 03 21:21:40 +0000 2018,0.255,0.0,0.745,0.6249,"RT @BBCRadio4: 🎧 Looking for a new podcast?
📻 Loads of great ideas right here...
https://t.co/DJbWsiWc2D"
26,BBC,Sat Mar 03 19:36:06 +0000 2018,0.167,0.0,0.833,0.296,RT @bbcthree: Your regular reminder that Louis Theroux is a national treasure. https://t.co/vxTqbCttuQ
27,BBC,Sat Mar 03 19:00:05 +0000 2018,0.17,0.11,0.72,0.1695,🎧😎 Some people just don't want to stop raving. https://t.co/agXVmmgVKZ
28,BBC,Sat Mar 03 18:00:16 +0000 2018,0.0,0.271,0.729,-0.7717,"""You can’t dress it up. I said: ‘Mummy’s died’""

💔 Sky Sports anchor @SimonThomasSky, who lost his wife to cancer o… https://t.co/63Q2Wb37oX"
29,BBC,Sat Mar 03 17:58:00 +0000 2018,0.0,0.0,1.0,0.0,"RT @BBCWorld: Come on Eileen. 👏👏👏

https://t.co/KLrG8nMMJl"
30,BBC,Sat Mar 03 17:57:56 +0000 2018,0.0,0.0,1.0,0.0,RT @BBCFood: CHOCOLATE CAKE KLAXON 📣 https://t.co/u1wNGs8Vtm https://t.co/UOi707IOaG
31,BBC,Sat Mar 03 17:46:46 +0000 2018,0.0,0.256,0.744,-0.6705,"RT @BBCBreaking: One person suffers ""self-inflicted gun shot wound"" outside the White House, US Secret Service says https://t.co/Bv5sB11BSC"
32,BBC,Sat Mar 03 17:00:03 +0000 2018,0.0,0.0,1.0,0.0,❤️ A mum's tribute to her son Tristan who has Asperger's syndrome. https://t.co/LTZ02FX24V
33,BBC,Sat Mar 03 16:00:08 +0000 2018,0.0,0.0,1.0,0.0,"💀 Less than one-10th of 1% of all species that have ever lived became fossils. 

But from skipping a coffin to avoi… https://t.co/20s85EmMhJ"
34,BBC,Sat Mar 03 15:26:56 +0000 2018,0.0,0.0,1.0,0.0,"RT @bbcpress: 📻 📖 @IanMcKellen, @francesbarber13 and Simon Russell Beale star in a new adaptation of #ParadiseLost @BBCRadio4 - https://t.c…"
35,BBC,Sat Mar 03 15:26:39 +0000 2018,0.123,0.0,0.877,0.4754,RT @BBCFOUR: One of the most inspiring stories in human history. Masters of the Pacific Coast: The Tribes of the American Northwest. Tonigh…
36,BBC,Sat Mar 03 15:07:50 +0000 2018,0.0,0.0,1.0,0.0,RT @BBC100women: For a film to pass the Bechdel Test it needs to feature two women 👭 talking to each other 🗣️ about something other than a…
37,BBC,Sat Mar 03 15:07:40 +0000 2018,0.091,0.2,0.709,-0.4404,RT @bbcweather: Some parts of the UK have seen freezing rain in the last 24 hours - a beautiful but dangerous weather phenomenon. https://t…
38,BBC,Sat Mar 03 15:00:07 +0000 2018,0.0,0.115,0.885,-0.296,'There is no such thing as cheap seafood because it comes at a price we can't ever repay.' https://t.co/8tCZay8iOz
39,BBC,Sat Mar 03 13:30:04 +0000 2018,0.0,0.229,0.771,-0.5514,"Zig-A-Zig Whaaaaa?
How scary is your knowledge of the Spice Girls? 
👉 https://t.co/JZAjDNrldQ https://t.co/FXy5nVK7nj"
40,BBC,Sat Mar 03 12:30:30 +0000 2018,0.0,0.0,1.0,0.0,RT @bbcideas: What do we know about the earliest known representations of the human face? 😲 https://t.co/PDgFTpPOqi https://t.co/kls7Xu0Ui9
41,BBC,Sat Mar 03 12:00:04 +0000 2018,0.0,0.355,0.645,-0.296,How to avoid these 😬👇https://t.co/RJj25ysPsq
42,BBC,Sat Mar 03 11:29:49 +0000 2018,0.0,0.143,0.857,-0.3612,"RT @bbccomedy: What happens when you ask @JohnCleese, Alison Steadman and @Jason__Watkins ridiculous questions? 🤔🤣#HoldTheSunset https://t.…"
43,BBC,Sat Mar 03 11:18:14 +0000 2018,0.222,0.0,0.778,0.6114,"Happy Birthday, @Camila_Cabello!🎈

For all of her latest @BBCR1 interviews and performances check out:… https://t.co/mTSDDK6YeF"
44,BBC,Sat Mar 03 11:00:11 +0000 2018,0.075,0.134,0.791,-0.3612,"📺 From The Terror to the return of Atlanta and @Marvel’s Jessica Jones, here are the TV shows worth seeing in March… https://t.co/i6mIgZGqB7"
45,BBC,Sat Mar 03 10:42:24 +0000 2018,0.156,0.0,0.844,0.5719,"RT @BBCEarth: Today is #WorldWildlifeDay celebrating the world’s big cats. 

DYK: black panthers in Asia and Africa are leopards and those…"
46,BBC,Sat Mar 03 10:41:48 +0000 2018,0.0,0.0,1.0,0.0,"RT @TWBBC: By 2050, 30-50% of all species could be heading towards extinction. 
Take a moment this #WorldWildlifeDay to learn more ⬇️⬇️ 
#m…"
47,BBC,Sat Mar 03 10:00:04 +0000 2018,0.272,0.0,0.728,0.7569,Learning to play the bagpipes can be quite a challenge - and it's even harder if you only have the use of one hand!  https://t.co/PGI8ZPFNUW
48,BBC,Sat Mar 03 09:39:33 +0000 2018,0.0,0.0,1.0,0.0,"RT @BBCSpringwatch: Never mind the snow, Saturday morning lie-ins be like... 🤗 #weekend #saturday #UKsnow #Winterwatch https://t.co/QueQ6ff…"
49,BBC,Sat Mar 03 09:39:27 +0000 2018,0.0,0.0,1.0,0.0,RT @bbcthree: actual footage of me this morning https://t.co/e9vmltkcc3
50,BBC,Sat Mar 03 09:00:07 +0000 2018,0.104,0.0,0.896,0.2732,"Mary Beard opens up about her new series, the nature of civilisation and the significance of a face-to-face encount… https://t.co/OIg0ZgPgcc"
51,BBC,Fri Mar 02 20:35:03 +0000 2018,0.0,0.193,0.807,-0.4767,"RT @BBCOne: .@JohnTorode1 makes terrible beans on toast, isn't that right @GreggAWallace? 🍴 @Masterchefuk https://t.co/ZsUcJAWZWX"
52,BBC,Fri Mar 02 19:00:09 +0000 2018,0.167,0.0,0.833,0.4588,"❄️ When the weather is this cold, a simple act of kindness can go a long way. https://t.co/NwJ0FoSOzD"
53,BBC,Fri Mar 02 18:00:11 +0000 2018,0.0,0.0,1.0,0.0,"What is the #AttenboroughEffect?
📻👉 https://t.co/qO3nY8tEl6 https://t.co/bJSh6V20WC"
54,BBC,Fri Mar 02 17:30:03 +0000 2018,0.0,0.0,1.0,0.0,KILTED YOGA! https://t.co/4wlS4cr85R
55,BBC,Fri Mar 02 15:43:22 +0000 2018,0.454,0.0,0.546,0.9184,"RT @mixital: ⚡Are you loving @BBCOne’s Troy? Join our new creative challenge and create your own #Troy fan art!

Grab these images from our…"
56,BBC,Fri Mar 02 15:03:04 +0000 2018,0.0,0.0,1.0,0.0,"Meet George, a 99-year-old swimmer from Australia who appears to have smashed a world record for his age group. 😮🏊💪… https://t.co/4VsUws6lI3"
57,BBC,Fri Mar 02 14:30:11 +0000 2018,0.353,0.0,0.647,0.7684,"You might know your British comedy, but how well do you know your British comedy award-winners?… https://t.co/TKHDZQ3tNW"
58,BBC,Fri Mar 02 14:03:04 +0000 2018,0.0,0.0,1.0,0.0,"Lego's leaves, bushes and trees are going green! 🍀🌿🌱The Danish toymaker says they will be made with plastic sourced… https://t.co/BUTkdp7dBe"
59,BBC,Fri Mar 02 13:00:04 +0000 2018,0.0,0.215,0.785,-0.5095,"😬 Are these the most offensive questions ever asked in job interviews?
👉 https://t.co/bzi7uVzVAL https://t.co/yaBdPGQ2m0"
60,BBC,Fri Mar 02 12:00:05 +0000 2018,0.0,0.286,0.714,-0.5574,When London Fashion meets the technology behind Star Wars. https://t.co/M2QJ5HGx8W
61,BBC,Fri Mar 02 10:53:03 +0000 2018,0.263,0.0,0.737,0.6908,🎭He's @BAFTA's 2018 Rising Star and a contender for Best Actor at the #Oscars this weekend - read 9 things… https://t.co/eRvLb5oque
62,BBC,Fri Mar 02 10:09:18 +0000 2018,0.0,0.0,1.0,0.0,RT @bbcrb: So it's NEVER too cold to go swimming in the sea 😂🌊🏊❄️ https://t.co/fvtt3D7u3o
63,BBC,Fri Mar 02 10:09:01 +0000 2018,0.0,0.0,1.0,0.0,RT @bbcthree: Kerry and Kurtan had a proper go at snapchat filters.... #thiscountry https://t.co/2gxzCvuie1
64,BBC,Fri Mar 02 10:08:18 +0000 2018,0.0,0.0,1.0,0.0,"RT @BBCR1: So, apparently @LiamPayne paid for Michael and Calum from @5SOS' very first tattoos when they were on tour with @OneDirection...…"
65,BBC,Fri Mar 02 10:07:52 +0000 2018,0.0,0.0,1.0,0.0,"RT @bbcarts: If you're snowed in on Friday, spend the day with the #Civilisations box set on @BBCiPlayer &amp; at 18:30 watch our live event wi…"
66,BBC,Fri Mar 02 10:06:53 +0000 2018,0.0,0.0,1.0,0.0,RT @BBCScotlandNews: Watch a husky pull a skier... in Glasgow's Partick https://t.co/eAWWjQnAXS
67,BBC,Fri Mar 02 10:05:43 +0000 2018,0.231,0.0,0.769,0.69,RT @BBCFOUR: Today is our 16th birthday! We launched #onthisday in 2002… and we’ve loved every minute of it. 🎂 #SixteenYearsFresh https://t…
68,BBC,Fri Mar 02 10:02:04 +0000 2018,0.0,0.0,1.0,0.0,"More than 1,000 members of the public have been invited to the grounds of Windsor Castle for Prince Harry and Megha… https://t.co/EGTJPQEm96"
69,BBC,Fri Mar 02 09:00:07 +0000 2018,0.0,0.0,1.0,0.0,"That view! 😍
#OurBluePlanet #BluePlanet2 https://t.co/1kHthPUfxg"
70,BBC,Fri Mar 02 08:30:16 +0000 2018,0.0,0.0,1.0,0.0,A recently discovered photo collection by the late photographer David Granick reveals London's East End in colour.… https://t.co/GPbx6fdmF1
71,BBC,Fri Mar 02 08:00:06 +0000 2018,0.0,0.0,1.0,0.0,🐑🐶 It's a real life 'sheep dog'! https://t.co/A1LAD9ZCNm
72,BBC,Thu Mar 01 21:43:00 +0000 2018,0.286,0.0,0.714,0.802,"How beautiful is this temple in Petra, Jordan? It's survived armies and earthquakes as the Nabataeans who built it… https://t.co/Br3szxmAxN"
73,BBC,Thu Mar 01 21:38:00 +0000 2018,0.0,0.126,0.874,-0.3818,"High-resolution photographs of this tiny seal stone, which was found in the grave of a Mycenaean soldier, uncover a… https://t.co/aE7E1pXCvT"
74,BBC,Thu Mar 01 21:24:36 +0000 2018,0.0,0.0,1.0,0.0,"RT @bbcarts: As #Civilisations, a series 3 years in the making and featuring over 500 artworks, arrives on the @BBC, here's just one of tho…"
75,BBC,Thu Mar 01 21:10:00 +0000 2018,0.489,0.0,0.511,0.7712,"A greeting from roughly 37,000 years ago. 👋 Amazing! #Civilisations https://t.co/thqeSvamrV"
76,BBC,Thu Mar 01 21:09:31 +0000 2018,0.383,0.0,0.617,0.9081,RT @simon_schama: After 3 years of work #Civilisations will at last reach all of you - it was a great labour of love and passion for @wmary…
77,BBC,Thu Mar 01 21:08:00 +0000 2018,0.231,0.0,0.769,0.5859,We've been creating and designing for thousands of years. But when and where did human creativity begin?… https://t.co/Utrh8ie6qf
78,BBC,Thu Mar 01 20:59:18 +0000 2018,0.117,0.087,0.796,0.2003,RT @BBCTaster: It's here! The BBC Civilisations #AR App brings the lost treasures of history into your world through the power of #Augmente…
79,BBC,Thu Mar 01 20:57:46 +0000 2018,0.195,0.0,0.805,0.4404,RT @bbcweather: Images from across the British Isles thanks to @BBCWthrWatchers Phil https://t.co/NrVt1ksN4g
80,BBC,Thu Mar 01 20:56:26 +0000 2018,0.212,0.0,0.788,0.6249,"RT @BBCWales: It's #StDavidsDay. 

A chance to tell the world why we're proud of #Wales. 

Here's a few reasons...what are yours? 
(🔊 Sound…"
81,BBC,Thu Mar 01 19:31:00 +0000 2018,0.242,0.0,0.758,0.6249,Get ready to explore thousands of years of human creativity. #Civilisations begins tonight at 9pm on @BBCTwo. https://t.co/Qqi0TDOv6e
82,BBC,Thu Mar 01 19:00:09 +0000 2018,0.15,0.178,0.672,-0.1779,How a former beauty queen made it her mission to reduce the rate of female suicide in her country. https://t.co/CcGdMu2tO4
83,BBC,Thu Mar 01 18:22:04 +0000 2018,0.492,0.0,0.508,0.9118,"😋🏴󠁧󠁢󠁷󠁬󠁳󠁿 Celebrate the best of Welsh produce this #StDavidsDay with these delicious recipes.
👉… https://t.co/Wc9oka4EI9"
84,BBC,Thu Mar 01 18:00:01 +0000 2018,0.0,0.0,1.0,0.0,🍿🔥Dr Helen Czerksi explores the extraordinary science of heat and the science behind our favourite cinema snack - p… https://t.co/ovvqutlxWT
85,BBC,Thu Mar 01 17:30:05 +0000 2018,0.0,0.0,1.0,0.0,"😂 We'd watch Sherl-otter Holmes.
#TheGNShow https://t.co/krP4IJiahS"
86,BBC,Thu Mar 01 16:30:58 +0000 2018,0.0,0.307,0.693,-0.852,"RT @BBCR1: We've just heard from @GregJames and it's not good news. 

The weather conditions are so bad that it's not currently safe enough…"
87,BBC,Thu Mar 01 16:30:09 +0000 2018,0.0,0.0,1.0,0.0,"""The history of art is not just the history of artists; it is also the history of the people who viewed art.""… https://t.co/jY2zyFczHM"
88,BBC,Thu Mar 01 16:00:19 +0000 2018,0.187,0.0,0.813,0.5994,❄️Snowflakes form when the moisture in air crystallises. Take a look here to see a close-up of beautiful snowflakes… https://t.co/leNcUvYItE
89,BBC,Thu Mar 01 15:30:14 +0000 2018,0.141,0.137,0.722,0.0258,Would you lay down your life for art? Khaled al-Asaad died protecting precious artefacts in Syria. His story is exp… https://t.co/CaSa0hgy6D
90,BBC,Thu Mar 01 14:52:36 +0000 2018,0.16,0.0,0.84,0.5859,"RT @BBCRadio4: 🎧 GrownUpland is a podcast for the immature and the bewildered.
We're doing it with the amazing @DeborahFW from the @GuiltFe…"
91,BBC,Thu Mar 01 14:46:39 +0000 2018,0.079,0.0,0.921,0.2023,"RT @bbcarts: For our prehistoric ancestors, finding food and shelter would have been top priorities. So why did someone 40,000 years spend…"
92,BBC,Thu Mar 01 14:33:04 +0000 2018,0.0,0.0,1.0,0.0,📝📚A teacher in Ghana who educates his students on computer technology - without any computers - has become a hit on… https://t.co/EsKIRTSCB9
93,BBC,Thu Mar 01 13:30:10 +0000 2018,0.124,0.0,0.876,0.4019,"'Lady Bird is the person I wish I could have been.'

🎬 Greta Gerwig talks teen angst and blazing a trail in Hollywo… https://t.co/f3VICZKt5H"
94,BBC,Thu Mar 01 12:49:53 +0000 2018,0.0,0.0,1.0,0.0,"RT @BBCRadioScot: Now THIS is how to make the most of a snow day. ❄️  ❄️  ❄️  

Not only building an IGLOO...but SLEEPING in it overnight!…"
95,BBC,Thu Mar 01 12:30:03 +0000 2018,0.0,0.206,0.794,-0.6369,"When Ronald Dlamini lost his sight it ended his MMA sporting career, but now he's training other blind people to pr… https://t.co/oXr9P3XCoc"
96,BBC,Thu Mar 01 11:35:28 +0000 2018,0.0,0.0,1.0,0.0,"RT @BBCR1: ""I never thought climbing a mountain would count as a 'rest day'."" 

As snow stalls #Gregathlon day four, let's take a look back…"
97,BBC,Thu Mar 01 11:33:04 +0000 2018,0.0,0.059,0.941,-0.128,Heavy snow is making it tough for many people to travel. So what are your rights if you can't make it into work? 🙅… https://t.co/llewH4VhBW
98,BBC,Thu Mar 01 11:03:04 +0000 2018,0.0,0.087,0.913,-0.25,Looking for a new book to get stuck into? @BBC_Culture's selection of ten books you need to read in 2018 could help… https://t.co/a4vRFOWLr8
99,BBC,Thu Mar 01 10:03:00 +0000 2018,0.209,0.0,0.791,0.5719,"RT @BBCWales: ❄️ Current mood ❄️

❤️ #DyddGŵylDewi hapus 🏴󠁧󠁢󠁷󠁬󠁳󠁿
🏴󠁧󠁢󠁷󠁬󠁳󠁿  Happy #StDavidsDay 💛 

📸 #Photooftheday » https://t.co/bz3A5e7cNc…"
100,CBS,Sun Mar 04 08:05:26 +0000 2018,0.116,0.0,0.884,0.4404,"RT @thegoodfight: It feels good to be back. 👠💄🔥 The season 2 premiere of #TheGoodFight is now streaming, exclusively on CBS All Access: htt…"
101,CBS,Sat Mar 03 20:55:20 +0000 2018,0.0,0.0,1.0,0.0,"RT @thegoodfight: Tomorrow, #TheGoodFight is back. Stream the season 2 premiere only on CBS All Access: https://t.co/tNFR8LBJO2 https://t.c…"
102,CBS,Fri Mar 02 22:30:01 +0000 2018,0.247,0.0,0.753,0.7096,"Who are the trailblazing women in your life that inspire you? Join CBS and the ANA's #SeeHer initiative, celebratin… https://t.co/M0KqZ41Bes"
103,CBS,Fri Mar 02 20:30:01 +0000 2018,0.282,0.0,0.718,0.7096,"Join @maria_bello, @aishatyler and @TeaLeoni in celebrating the accomplishments of women who have contributed to th… https://t.co/MefESBeFL3"
104,CBS,Fri Mar 02 18:45:00 +0000 2018,0.151,0.0,0.849,0.4939,"In honor of Women's History Month, CBS and the Association of National Advertisers' (ANA) #SeeHer initiative will p… https://t.co/2wtYxKJVuO"
105,CBS,Thu Mar 01 18:59:01 +0000 2018,0.0,0.21,0.79,-0.6981,RT @ZoeListerJones: Tonight’s an all new Life In Pieces and it’s directed by my ride or die @nataliaanderson!!!… https://t.co/2LPfmyLWrY
106,CBS,Thu Mar 01 18:12:57 +0000 2018,0.159,0.092,0.749,0.4547,"RT @MarenMorris: Hot damn! Woke up from my post-wisdom teeth haze to find out I’m up for 4 @ACMawards ! So honored, especially for the Dear…"
107,CBS,Thu Mar 01 18:11:50 +0000 2018,0.538,0.0,0.462,0.8591,RT @KelseaBallerini: Ohhhhh goodness. Incredible. Thank you thank you thank you. #female https://t.co/1ZTYjNfQeF
108,CBS,Thu Mar 01 18:10:50 +0000 2018,0.234,0.151,0.615,0.4885,RT @KeithUrban: ACMs...... HOLY SMOKES!!!!! MAD LOVE TO U ALL THIS MORNING  FOR THESE INCREDIBLE NOMINATIONS. I’M EXTREMELY GRATEFUL!!!!!!!…
109,CBS,Thu Mar 01 14:36:21 +0000 2018,0.178,0.0,0.822,0.5994,"RT @ACMawards: Congratulations to this year’s #ACMawards Video of the Year nominees:
“Black” - @DierksBentley
“It Ain’t My Fault” - @Brothe…"
110,CBS,Thu Mar 01 14:29:20 +0000 2018,0.325,0.0,0.675,0.7717,"RT @ACMawards: Please give a round of applause to this year’s #ACMawards Entertainer of the Year nominees: @Jason_Aldean, @GarthBrooks, @Lu…"
111,CBS,Thu Mar 01 14:15:29 +0000 2018,0.275,0.0,0.725,0.6908,".@ChrisStapleton, @ThomasRhett, @mirandalambert and more are all nominated for awards at Country Music's Party of t… https://t.co/Vm1vXRUDYJ"
112,CBS,Thu Mar 01 13:50:11 +0000 2018,0.0,0.0,1.0,0.0,"The Queen of Country, @Reba, is returning to host the 53rd #ACMawards on Sunday, April 15 at 8/7c. Here are a few o… https://t.co/Iqzz6Gql01"
113,CBS,Thu Mar 01 01:04:52 +0000 2018,0.0,0.0,1.0,0.0,RT @survivorcbs: It’s time! #Survivor https://t.co/YPk6cGWrUA
114,CBS,Wed Feb 28 19:56:58 +0000 2018,0.0,0.0,1.0,0.0,"RT @CBSThisMorning: TOMORROW: The nominees for the 2018 @ACMawards will be announced live by the one-and-only, @Reba! 

Watch on @CBS in ou…"
115,CBS,Wed Feb 28 19:08:30 +0000 2018,0.116,0.0,0.884,0.4404,"RT @thegoodfight: From the set design and costumes to hair and makeup, the production quality is truly next-level. Take a peek inside the u…"
116,CBS,Tue Feb 27 03:23:47 +0000 2018,0.152,0.0,0.848,0.5562,RT @LivinBiblically: The fun continues on Facebook! The #LivingBiblically cast is live to talk about tonight’s premiere. Tune in here: http…
117,CBS,Mon Feb 26 22:50:32 +0000 2018,0.0,0.0,1.0,0.0,"RT @KevinCanWaitCBS: Can you get all the way through these #KevinCanWait bloopers without laughing?! @KevinJames,@LeahRemini and the rest o…"
118,CBS,Mon Feb 26 21:08:30 +0000 2018,0.0,0.0,1.0,0.0,"RT @ACMawards: That’s right! @Reba is headed to @CBSThisMorning on Thursday, March 1 to announce this year’s #ACMAwards' nominees. Tune in…"
119,CBS,Mon Feb 26 19:53:41 +0000 2018,0.105,0.0,0.895,0.4482,"RT @ScorpionCBS: You can't hack your way to a 197 IQ, but you are well on your way with these Genius Facts from #TeamScorpion! 💻 You can be…"
120,CBS,Mon Feb 26 18:32:36 +0000 2018,0.266,0.0,0.734,0.784,RT @SuperiorDonuts: You can always count on @DavidKoechner for a laugh! Did your favorite Tush moment make the list? Catch a new #SuperiorD…
121,CBS,Mon Feb 26 18:20:16 +0000 2018,0.429,0.0,0.571,0.9359,RT @TheTalkCBS: TODAY: We loved them together then &amp; we love seeing them together now! Welcome back to the show @THESaraGilbert​'s good fri…
122,CBS,Mon Feb 26 16:53:56 +0000 2018,0.0,0.184,0.816,-0.5423,"RT @thegoodfight: As foundations begin to crumble, our characters struggle to make sense of this new dystopian world. The cast teases what'…"
123,CBS,Mon Feb 26 16:52:01 +0000 2018,0.0,0.0,1.0,0.0,"#LivingBiblically's @linzkraft and @jrfergjr appeared on @KCBS's Facebook Live this morning, talking all about what… https://t.co/4RebcHuuMQ"
124,CBS,Mon Feb 26 16:17:55 +0000 2018,0.0,0.0,1.0,0.0,"RT @CBSSports: Introducing CBS Sports HQ, a New 24/7 Direct-to-Consumer Streaming Network for Sports News, Highlights, &amp; Analysis.

Stream…"
125,CBS,Mon Feb 26 01:12:32 +0000 2018,0.231,0.0,0.769,0.7644,"RT @CBSBigBrother: It’s down to the final 5 celebrity Houseguests, and anyone could take home the grand prize! Tune in NOW to watch the #BB…"
